__run_id,__done,algorithm,library,dataset,process,accuracy,f1_score,r2,runtime_s,cpu_user_s,cpu_system_s,memory_delta_mb,energy_j,estimated_CO2_kg,
logistic_statsmodels_medium_training_rep9,DONE,logistic,statsmodels,medium,training,,,,1.052,0.00330075,0.0037205830000000004,18.46875,2.6614485716138567,,2.529894079480852
logistic_statsmodels_medium_inference_rep9,DONE,logistic,statsmodels,medium,inference,0.97808,0.9672969297887078,nan,0.634,0.002217583,0.0026367909999999994,19.109375,1.5093037099838256,,2.3806052207946777
logistic_sklearn_large_training_rep9,DONE,logistic,sklearn,large,training,,,,1.052,0.0027754159999999997,0.003078541999999999,18.484375,2.6165661332266668,,2.487230164664132
logistic_sklearn_large_inference_rep9,DONE,logistic,sklearn,large,inference,1.0,1.0,nan,0.843,0.0027228750000000005,0.003019791000000001,18.53125,2.0413170361518858,,2.4214911460876465
logistic_sklearn_medium_training_rep9,DONE,logistic,sklearn,medium,training,,,,0.843,0.006617958,0.007722583000000001,18.625,2.0590042819976806,,2.442472457885742
logistic_sklearn_medium_inference_rep9,DONE,logistic,sklearn,medium,inference,0.97808,0.9672969297887078,nan,0.634,0.002348583,0.002727167,19.203125,1.5035769010543822,,2.371572399139404
logistic_statsmodels_small_training_rep9,DONE,logistic,statsmodels,small,training,,,,0.624,0.0021663749999999995,0.002577833,19.328125,1.5852012863159177,,2.5403866767883296
logistic_statsmodels_small_inference_rep9,DONE,logistic,statsmodels,small,inference,0.9785,0.9678668182966892,nan,0.634,0.003096875,0.0035202919999999995,19.34375,1.5164530307769777,,2.3918817520141604
linear_statsmodels_large_training_rep9,DONE,linear,statsmodels,large,training,,,,1.251,0.0021937500000000004,0.002631874999999999,18.5625,3.2878597009778017,,2.6281852126121517
linear_statsmodels_large_inference_rep9,DONE,linear,statsmodels,large,inference,nan,nan,0.6725440184152305,0.843,0.00218625,0.002606375,19.09375,2.0080537104606626,,2.382032871246338
logistic_sklearn_small_training_rep9,DONE,logistic,sklearn,small,training,,,,0.634,0.002982375,0.0034184159999999988,19.390625,1.5176612014770507,,2.393787384033203
logistic_sklearn_small_inference_rep9,DONE,logistic,sklearn,small,inference,0.9785,0.9678668182966892,nan,0.634,0.003201292,0.003692041,19.34375,1.4513811092376707,,2.289244651794433
linear_sklearn_large_training_rep9,DONE,linear,sklearn,large,training,,,,1.047,0.0036784589999999994,0.004181916999999999,18.421875,2.5690905827113557,,2.453763689313616
linear_sklearn_large_inference_rep9,DONE,linear,sklearn,large,inference,nan,nan,0.6725440184152253,0.835,0.0028116670000000003,0.0031734999999999992,18.734375,1.9798741642634072,,2.3711067835489907
linear_sklearn_medium_training_rep9,DONE,linear,sklearn,medium,training,,,,0.84,0.0070973749999999995,0.008135083000000001,18.578125,1.9989988231658935,,2.379760503768921
linear_sklearn_medium_inference_rep9,DONE,linear,sklearn,medium,inference,nan,nan,0.5554700019907828,0.634,0.002398917,0.0028269590000000004,18.921875,1.4732225040435791,,2.3236948013305665
linear_statsmodels_medium_training_rep9,DONE,linear,statsmodels,medium,training,,,,0.839,0.0037678340000000003,0.004071417000000001,18.046875,2.425673581202825,,2.8911484877268476
linear_statsmodels_medium_inference_rep9,DONE,linear,statsmodels,medium,inference,nan,nan,0.5554700019907838,0.841,0.006470916,0.007929000000000002,18.125,2.1780153504212696,,2.5897923310597735
linear_statsmodels_small_training_rep9,DONE,linear,statsmodels,small,training,,,,0.634,0.0028542080000000004,0.0031725830000000005,18.515625,1.4883909656524659,,2.3476198196411135
linear_statsmodels_small_inference_rep9,DONE,linear,statsmodels,small,inference,nan,nan,0.0096459506580489,0.634,0.002900208,0.0032273339999999992,19.1875,1.4354025045394896,,2.264041805267334
linear_sklearn_small_training_rep9,DONE,linear,sklearn,small,training,,,,0.634,0.003102625,0.003537625,19.328125,1.485594251823425,,2.343208599090576
linear_sklearn_small_inference_rep9,DONE,linear,sklearn,small,inference,nan,nan,0.0096459506580444,0.627,0.0029347920000000003,0.0033527919999999994,19.046875,1.5545831814765931,,2.4793990135192874
linear_sklearn_medium_training_rep10,DONE,linear,sklearn,medium,training,,,,0.836,0.006629458,0.007792083000000001,18.28125,2.037695984840393,,2.4374353885650635
linear_sklearn_medium_inference_rep10,DONE,linear,sklearn,medium,inference,nan,nan,0.5554700019907828,0.625,0.0023837499999999996,0.002856583,19.34375,1.4060736298561096,,2.2497178077697755
linear_statsmodels_medium_training_rep10,DONE,linear,statsmodels,medium,training,,,,0.843,0.004094167,0.004493375,18.84375,1.9688487441539764,,2.335526386896769
linear_statsmodels_medium_inference_rep10,DONE,linear,statsmodels,medium,inference,nan,nan,0.5554700019907838,0.634,0.002299583,0.0026428749999999994,18.546875,1.4093502883911133,,2.222949981689453
logistic_statsmodels_large_training_rep10,DONE,logistic,statsmodels,large,training,,,,6.69,0.005592334,0.0072187910000000004,20.328125,90.34317500142488,,13.50421150992898
logistic_statsmodels_large_inference_rep10,DONE,logistic,statsmodels,large,inference,1.0,1.0,nan,1.052,0.006543292,0.007875833,18.34375,2.650846636363438,,2.519816194261823
linear_statsmodels_small_training_rep10,DONE,linear,statsmodels,small,training,,,,0.621,0.002615792,0.0028076660000000003,17.890625,1.4383284379005432,,2.316148853302002
linear_statsmodels_small_inference_rep10,DONE,linear,statsmodels,small,inference,nan,nan,0.0096459506580489,0.63,0.0027635839999999995,0.003146584,19.09375,1.458908938407898,,2.31572847366333
logistic_statsmodels_medium_training_rep10,DONE,logistic,statsmodels,medium,training,,,,1.05,0.003358417,0.0038832910000000005,18.78125,2.5955131530761717,,2.471917288643973
logistic_statsmodels_medium_inference_rep10,DONE,logistic,statsmodels,medium,inference,0.97808,0.9672969297887078,nan,0.633,0.002175542,0.0025427080000000003,18.5625,1.4245289586067198,,2.250440692901611
logistic_sklearn_medium_training_rep10,DONE,logistic,sklearn,medium,training,,,,0.843,0.006686958,0.007903542,18.703125,1.9631480197906492,,2.328763961791992
logistic_sklearn_medium_inference_rep10,DONE,logistic,sklearn,medium,inference,0.97808,0.9672969297887078,nan,0.632,0.002182667,0.002622,18.453125,1.41671683883667,,2.241640567779541
linear_statsmodels_large_training_rep10,DONE,linear,statsmodels,large,training,,,,1.261,0.0021475,0.002534375,18.25,3.255322151005268,,2.5815401673316956
linear_statsmodels_large_inference_rep10,DONE,linear,statsmodels,large,inference,nan,nan,0.6725440184152305,0.843,0.0021839579999999997,0.0026009169999999995,19.34375,2.002825506210327,,2.375830968221029
logistic_sklearn_large_training_rep10,DONE,logistic,sklearn,large,training,,,,1.043,0.0027914159999999997,0.003196874999999999,18.296875,2.527099331378937,,2.422914028167725
logistic_sklearn_large_inference_rep10,DONE,logistic,sklearn,large,inference,1.0,1.0,nan,0.839,0.002563833,0.002914084,18.953125,1.9723098961512249,,2.3507865269978843
linear_sklearn_small_training_rep10,DONE,linear,sklearn,small,training,,,,0.634,0.0028440419999999998,0.0031799999999999997,19.21875,1.4136533157348632,,2.229737091064453
linear_sklearn_small_inference_rep10,DONE,linear,sklearn,small,inference,nan,nan,0.0096459506580444,0.628,0.003045375,0.003636166999999999,19.265625,1.5342892436981201,,2.4431357383728027
linear_sklearn_large_training_rep10,DONE,linear,sklearn,large,training,,,,1.052,0.0039673339999999994,0.004480209000000001,18.703125,2.7818981767381934,,2.644389901842389
linear_sklearn_large_inference_rep10,DONE,linear,sklearn,large,inference,nan,nan,0.6725440184152253,0.843,0.003162542,0.003643541,19.109375,1.9907709841728207,,2.361531416575114
logistic_sklearn_small_training_rep10,DONE,logistic,sklearn,small,training,,,,0.634,0.0028766250000000003,0.003299166000000001,19.28125,1.4390317932128907,,2.2697662353515624
logistic_sklearn_small_inference_rep10,DONE,logistic,sklearn,small,inference,0.9785,0.9678668182966892,nan,0.626,0.002979333,0.0033300000000000005,19.296875,1.3941442962646484,,2.227067565917969
logistic_statsmodels_small_training_rep10,DONE,logistic,statsmodels,small,training,,,,0.633,0.002190084,0.0025968329999999998,18.953125,1.8314882743835448,,2.8933464050292965
logistic_statsmodels_small_inference_rep10,DONE,logistic,statsmodels,small,inference,0.9785,0.9678668182966892,nan,0.625,0.0028670830000000003,0.0031281250000000007,18.5625,1.4353029131889343,,2.296484661102295
logistic_sklearn_small_training_rep11,DONE,logistic,sklearn,small,training,,,,0.634,0.002822209,0.0031253749999999997,19.125,1.42140811252594,,2.2419686317443848
logistic_sklearn_small_inference_rep11,DONE,logistic,sklearn,small,inference,0.9785,0.9678668182966892,nan,0.634,0.0030787090000000002,0.0034399170000000007,19.359375,1.4012156633377075,,2.210119342803955
logistic_sklearn_large_training_rep11,DONE,logistic,sklearn,large,training,,,,1.052,0.003155292,0.0036965419999999997,19.21875,2.5188925871167864,,2.3943845885140553
logistic_sklearn_large_inference_rep11,DONE,logistic,sklearn,large,inference,1.0,1.0,nan,0.842,0.0027045,0.003119624999999999,18.71875,1.9279679775238037,,2.289748191833496
linear_sklearn_medium_training_rep11,DONE,linear,sklearn,medium,training,,,,0.634,0.002234792,0.002614666,19.375,1.3952551651000975,,2.20071792602539
linear_sklearn_medium_inference_rep11,DONE,linear,sklearn,medium,inference,nan,nan,0.5554700019907828,0.633,0.002566791,0.0028985,18.734375,1.4000807510375977,,2.2118179321289064
linear_statsmodels_medium_training_rep11,DONE,linear,statsmodels,medium,training,,,,0.843,0.004072124999999999,0.004431208999999999,19.1875,1.9922249901294706,,2.3632562160491943
linear_statsmodels_medium_inference_rep11,DONE,linear,statsmodels,medium,inference,nan,nan,0.5554700019907838,0.634,0.002201833,0.002532291,18.359375,1.4361284832000734,,2.265186882019043
logistic_statsmodels_medium_training_rep11,DONE,logistic,statsmodels,medium,training,,,,1.052,0.0032484999999999997,0.003728167,18.6875,2.7862464005606515,,2.6485231944492886
logistic_statsmodels_medium_inference_rep11,DONE,logistic,statsmodels,medium,inference,0.97808,0.9672969297887078,nan,0.634,0.0023213339999999996,0.002695666,18.484375,1.4629528717041016,,2.3074966430664063
linear_sklearn_small_training_rep11,DONE,linear,sklearn,small,training,,,,0.634,0.002913542,0.0031730410000000006,18.59375,1.6770391235351563,,2.645172119140625
linear_sklearn_small_inference_rep11,DONE,linear,sklearn,small,inference,nan,nan,0.0096459506580444,0.625,0.0030500419999999998,0.003439042,19.328125,1.3616623878479004,,2.1786598205566405
logistic_statsmodels_small_training_rep11,DONE,logistic,statsmodels,small,training,,,,0.626,0.002141792,0.002577541000000001,19.046875,1.3662409881591797,,2.1824935913085937
logistic_statsmodels_small_inference_rep11,DONE,logistic,statsmodels,small,inference,0.9785,0.9678668182966892,nan,0.633,0.0030631670000000003,0.0035384579999999995,19.34375,1.3844593708992003,,2.1871396064758297
logistic_statsmodels_large_training_rep11,DONE,logistic,statsmodels,large,training,,,,6.684,0.004195542,0.0048550830000000005,20.28125,89.6797970937841,,13.417085142696603
logistic_statsmodels_large_inference_rep11,DONE,logistic,statsmodels,large,inference,1.0,1.0,nan,1.051,0.005039709,0.0062908750000000005,19.328125,2.5058772065298895,,2.3842789786202565
linear_statsmodels_small_training_rep11,DONE,linear,statsmodels,small,training,,,,0.634,0.002722292,0.0030832920000000005,19.359375,1.3915606369018554,,2.1948905944824215
